SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés GYE,Igénylő,
SZÉV2022-258,TRUE,GYE,05.27.,,,06.01.,,,SZÉV tartalék,,2db SKF 6004-2RSH/C3 csapágy,,,DÁ,
SZÉV2022-259,TRUE,GYE,05.27.,,,05.30.,,,NCT Taksony,,Royal 151332 főorsóba (20.000rpm) 2db 7008UC és 2db 7008UC GD2/GLP4 csapágy,,,DÁ,
SZÉV2022-260,TRUE,IMP,05.30.,,,08.12.,BET2022/03233,,SZÉV tartalék,,20db eml esernyős szerszámzseb (10-6929-00),,,DÁ,
SZÉV2022-261,TRUE,GYE,05.30.,,1,06.23.,,M19069,MST ENGINEERING,EmR-1600M-5HT billenőfejes,Parkson billenőfejes főorsó csapágyak,,,DÁ,
SZÉV2022-262,TRUE,GYE,05.30.,,,05.31.,,,NCT Akadémia,,3db ledes géplámpa MINIturnbe,,,DÁ,
SZÉV2022-263,TRUE,GYE,05.31.,,,06.01.,,,SZÉV tartalék,,5db seeger gyűrű,rendelés alatt,,DÁ,
SZÉV2022-264,TRUE,GYE,05.31.,,,05.31,,,Dr. Varga Tamás Ev.,SC-32,10db előgyártmány továbbító csőbe,kép csatolva  - nem kérte az ügyfél -> vissza küldve Taksonyba,,DÁ,
SZÉV2022-265,TRUE,LOG,05.31.,,1,SZTORNÓ,,M21009,SOPRONI SZC,EEN-320,1 db komplett vezérlő (304) és 1 db EPU-SIS felprogramozva,,,BÁ,
SZÉV2022-266,FALSE,IMP,06.01.,,,,,M18180,DGA,KAFO-NCT BMC-2012,plexi/üveg,kép csatolva,,CsZ,
SZÉV2022-267,FALSE,GYE,06.01.,,,,,,SZÉV tartalék,,Főorsó - Royal 151331-be 4db csapágy NSK 40BNR10 SUELP4,,,DÁ,
SZÉV2022-268,TRUE,LOG,06.02.,,1,06.03.,,M12067,SANATMETAL,TNL-100A,1 db Ai8Z2EH/M,,,BÁ,
SZÉV2022-269,TRUE,LOG,06.02.,06.02.,1,,,M13271,Dr. VARGA Tamás Ev.,SC-32,1 db Ai28Z1EH/M EGYENSÚLYZOTT,,,BÁ,
SZÉV2022-270,TRUE,IMP,06.02.,,,09.26.,,M06270,Nivelco zrt.,TNL-130ADT,1db Mindman MVSC-260-4E2C mágnesszelep,"Taksonyban nincs ilyen, magyar képviselet nincs -> Import",,DÁ,
SZÉV2022-271,TRUE,GYE,06.02.,,,,,M11257,GRIF-TOOLS kft.,SMART-42,hajtott szerszám egység forgó tengely,gyártásba küldés - első sorban ár és határidő -> lelett gyártva,,DÁ,
SZÉV2022-272,TRUE,GYE,06.02.,,,06.13.,,M17151,SBS kft.,SHW-UFZ-3,szerszámcserélő kar 2db tengely,gyártásba küldés ,,DÁ,
SZÉV2022-273,TRUE,IMP,06.02.,,,06.14.,,M15121,Klimex Medical,V200,főmotor tengely és szíjtárcsa ,árajánlat és szállítási határidő ,,DÁ,
SZÉV2022-274,TRUE,IMP,06.02.,,,07.04.,,,NCT Taksony,HSP-450 (FD-450),"motororsó 2db H7007C-2RZ/P4 HQ1 DBA, 1db H7005C-2RZ/P4 YA HQ1 DBA",bearingől megrendelve,,DÁ,
SZÉV2022-275,TRUE,GYE,06.03.,,1,,,M13194,METAL-99 KFT.,McB-1604B,"""Y"" szíj (8YU-680-30), 6202 csapágy",,,CsZ,
SZÉV2022-276,TRUE,GYE,06.03.,,,07.20.,,M13325,UNITOOL,KONDIA B-640,Joucomatic szelep,,,DÁ,
SZÉV2022-277,TRUE,LOG,06.07.,,0,,,,NCT Taksony,FD-450,orsó tekercselés,,,DÁ,
SZÉV2022-278,TRUE,GYE,06.07.,,,,,,SZÉV tartalék,,2db fagyasztó spray ,,,DÁ,
SZÉV2022-279,TRUE,GYE,06.07.,,,,,,SZÉV tartalék,,2db héjas kuplung,,,DÁ,
SZÉV2022-280,TRUE,IMP,06.07.,,,09.29.,,M13194,METAL-99 KFT.,McB-1604B,8YU-680-30 szíj,,,DÁ,
SZÉV2022-281,TRUE,GYE,06.07.,,,,,,SZÉV tartalék,,4méter kenőcső,megoldottuk,,DÁ,
SZÉV2022-282,TRUE,IMP,06.07.,,,09.26.,,M21102,GYOPÁR 2000 KFT. ,MSL-200 ,"""X"" golyósorsó ",,,DÁ,
SZÉV2022-283,TRUE,IMP,06.08,,,,,,SZÉV tartalék,,5-5db VU-620 szűrőház és szűrőbetét,,,DÁ,
SZÉV2022-284,FALSE,LOG,06.08.,,,,,M19094,VIVBER KFT.,MATEC 30HV,16os induktív ,,,DÁ,
SZÉV2022-285,FALSE,IMP,06.09.,,,,,M09131,KOKILLA PREC KFT.,VMC-1600F-6,áa és szállítási hi. villanymotorra,,,DÁ,
SZÉV2022-286,TRUE,GYE,06.10.,,,SZTORNÓ,,,SZÉV tartalék,,3db 400-5MGT-25,,,DÁ,
SZÉV2022-287,TRUE,LOG,06.10.,,1,06.16.,,M21065,AG UNION KFT.,EmR-1020d-5AX,ECON104,,,BÁ,
SZÉV2022-288,TRUE,GYE,06.10.,07.16.,0,,,M17248,GIA FORM,TCS-2000L,Főorsó fék opció kiépítése,Tárcsa rajta van,,BÁ,
SZÉV2022-289,TRUE,GYE,06.10.,,,06.16.?,,M15274,Koóp 55 Kft.,EmR-1604D,2db Deublin 1114-020-188,,,DÁ,
