Igényszám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email),Megjegyzés GYE
SZÉV2021-0017,FALSE,IMP,01.18,,0,,,-,GRÓF SZÉCHENYI SZKI,LA-660x1500,Csapágyház öntvény // LA-1500 eszterga,,
SZÉV2021-0018,TRUE,IMP,01.12,,,,,EB3706,Hajdu Autotechnika,PSGC-50100AHR,4-es és 5-ös kártya (kőlehúzó),,
SZÉV2021-0019,TRUE,GYE,01.18,,0,05.31.,,M11230,Bombardier,AXA VSC-3-5000,"Ajánlat ""Y"" golyósorsóra",,
SZÉV2021-0020,FALSE,IMP,01.14,,0,,,,K-Form,CHMER CM-A64C 50N,DGIPC board built-in CF card (D.O.C.),,
SZÉV2021-0021,TRUE,GYE,01.19,,0,,,M09185,Keresztes Zsolt,MM-760,Szerszámtár csapágyak // MM-760,,
SZÉV2021-0022,TRUE,BABETT,01.19,,0,05.31.,,-,CONTINUITÁS MAGYARORSZÁG 2009 KFT.,AG-400,"""Y"" golyósorsó // Prvomajska AG-400",,
SZÉV2021-0023,TRUE,BABETT,01.20,,0,,,M16111,Borela,BNC-1860,Walrus TPH2T6K szivattyú // BNC-1860,,
SZÉV2021-0024,FALSE,IMP,01.20,,1,,,M18170,MST Engineering,KAFO-NCT KFO-300MT MXS-300 MT,POSA főorsó + víz átvezető // VU-620,,
SZÉV2021-0025,TRUE,IMP,01.20,,1,03.22.,,M12236,Járműszerelvény Gyártó Zrt.,JSL-20AB,Főorsó anya // JSL-20AB,,
SZÉV2021-0026,FALSE,IMP,01.26,,1,,,M10005,MST Engineering,TNL-85ADT,Anson hidraulika szivattyú // TNL-85,,
SZÉV2021-0027,FALSE,IMP,01.26,,1,,,-,K-Kart,TMV-1050A-1,Szerszámcserélőkar // TMV-1050A,,
SZÉV2021-0028,TRUE,GYE,01.28,,0,,2021/000000104,M14285,SPH Plusz,KAFO VMC-1688,Walrus TPHK4T6-6 // VMC-1688,,
SZÉV2021-0029,TRUE,IMP/GYE,01.28,,1,,,M10336,Bíró Kft.,JSL-32AB Protur 2x2,JSL-32AB munkadarab kihordó szalag,,
SZÉV2021-0030,FALSE,HDH,01.29,,0,,,M19044,Gróf és Társa,JCL-60TSM,AMS180 mágnesgyűrűs jeladó,,
SZÉV2021-0031,TRUE,GYE ,01.29,,0,,,M18170,MST Engineering,MXS-300MT,AiS100 15.000 rpm motor csapágyak,,
SZÉV2021-0032,TRUE,GYE,01.29,,0,02.10.,,M19069,MST Engineering,EmR-1600M-5HT billenőfejes,Parkson billenőfejes főorsó csapágyak,"2 db GMN HY SM 6014 17° TA P4, 2 db SKF 7012 ACEGA/HCP4A",
SZÉV2021-0033,TRUE,GYE,02.01,,0,03.11.,,M18303/P19107,Frigo-Metal,KAFO SV-1000,Tetőburkolat // SV-1000,,
SZÉV2021-0034,TRUE,GYE,03.03,,0,03.22.,,M17182,Dantom,EmL-800B,Royal 8.000 rpm főorsó felújítás // EmL-800B,,
SZÉV2021-0035,TRUE,BABETT,02.01,,0,06.11.,,-,SZÉV,-,Intercontec kinyomó,,
SZÉV2021-0036,TRUE,BABETT,02.01,,0,03.19.,,M16142,MST Engineering,HT-76,Hajtott szerszám egység // TBHMA-200,,
SZÉV2021-0037,TRUE,GYE,02.05,,1,02.08.,,M16021,Litze PCE,CHM-16 belső sorjázó,Belső sorjázó főorsó javítás,,
SZÉV2021-0038,TRUE,GYE,02.08,,0,03.22.,,-,SZÉV,-,Orsófelújítás tányérrugó készlet,,
SZÉV2021-0039,TRUE,ERA,02.08,,0,02.09.,,M14094,Frank Hungária,EmR-1020D,Habor HBO olajhűtő klíma áramlás figyelés elektromos panel,,
SZÉV2021-0040,TRUE,ERA,02.08,,0,02.09.,2021/000000144,M10005,MST Engineering,TNL-85ADT,GK100 főkapcsoló,,
SZÉV2021-0041,FALSE,GYE,02.10,,0,,,-,SZÉV,-,"SMC gyorscsatlakozók, nyomásérzékelő",,
SZÉV2021-0042,TRUE,GYE,02.10,,0,02.17.,,M14165,Sanatmetal,EmR-1200M-5HTA billenőfejes,Microlab 15.000 orsó csapágyak // EmR-1200M-5HTA,,
SZÉV2021-0043,TRUE,IMP,02.11,,1,05.26.,,M12138,Tamáska Gyula EV,Chmer A422S,Vízszint szabályzó munkahenger // CHMER A422S,,
SZÉV2021-0044,TRUE,GYE,02.11,,0,03.17.,,M20054,Gép és Ferrotech,Pegard szögfej,Pegard szögfej szerszámmeghúzó alkatrész,,
SZÉV2021-0045,TRUE,ERA,02.15,,0,,,-,SZÉV,-,Anakonda fém kábelvédő,,
SZÉV2021-0046,TRUE,GYE,02.15,,0,02.23.,,M13162,KOÓP 55,EEN-320,törlőkészletre kérnek árajánlatot,,
SZÉV2021-0047,TRUE,GYE,02.15,,0,02.23.,,-,SZÉV,-,SZÉV Hoffmann igény,,
SZÉV2021-0048,FALSE,GYE,02.15,,0,,,M10005,MST Engineering,TNL-85ADT,Baumüller főmotor // TNL-85ADT,,
SZÉV2021-0049,FALSE,IMP,02.16,,0,,,-,SZÉV,-, CJK-6132 / Késtartó pozíció jeladó,,
SZÉV2021-0050,TRUE,GYE,02.17,,0,,,-,Juhász Műhely,FS-0,Hűtővíztartály szintjelző,,
SZÉV2021-0051,TRUE,BABETT,02.18,,0,03.10.,,M13264,K-Kart,TB-20YAMs,Revfej szerszámszorító dugó,,
SZÉV2021-0052,TRUE,GYE,02.18,,0,02.23.,,M14165,Sanatmetal,EmR-1200M-5HTA billenőfejes,Jeladó átalakítás // Microlab főorsó,,
SZÉV2021-0053,TRUE,IMP,02.18,,0,,,M09185,Keresztes Zsolt EV,MM-760,Szerszámtár forgatás öntvénye,,
SZÉV2021-0054,TRUE,LOG,02.18,,1,03.04.,,M10005,MST Engineering,TNL-85ADT,Baumüller DAF132K főmotor tekercselés,,
SZÉV2021-0055,TRUE,IMP,02.18,,1,03.22.,,M12170,Juhász Sándor EV,BNC-2680,"""Z"" golyósorsó // BNC-2680",,
SZÉV2021-0056,TRUE,GYE,02.19,,1,04.30.,,M07129,Bombardier,CME FS-6,Deublin 902-490,,
SZÉV2021-0057,TRUE,GYE,02.22,,0,02.23.,,M17280,Antal Kft.,WHN-13,Hidraulika szelep 24V // WHN-13,,
SZÉV2021-0058,TRUE,GYE,02.23,,0,02.23.,,M12362,SL-Forg,BNC-1640,Walrus TPH2T3K fekvő szivattyú,,
SZÉV2021-0059,FALSE,IMP,02.24,,0,,,M12075,Dunametál,McB-850,"""Y"" golyósorsó // McB-850",,
SZÉV2021-0060,TRUE,GYE,02.25,,0,03.22.,,M05105,Pro Form,Kondia B-640,Főorsó 12.000 rpm felújítás // B-640,,
SZÉV2021-0061,FALSE,IMP,02.26,,0,,,M05052,77 Ing,TMV-510T,Csészebillentő munkahenger // TMV-510,Július közepén/végén várható NCT-be.,
SZÉV2021-0062,TRUE,ERA,02.26,,0,03.09.,,M17228/P19020,Rák & Rák,NCT MXS-300MT,"Omron szerszámfigyelő, érzékelő // MXS-300MT",,
SZÉV2021-0063,TRUE,GYE,02.26,,0,03.23.,,-,SZÉV,-,SZÉV Fairtool igény,,
SZÉV2021-0064,TRUE,GYE,02.26,,0,02.26.,,M14314,MÁV FKG,BNC-65120,HVI-15 klíma olaj,,
SZÉV2021-0065,TRUE,GYE,02.26,,0,03.22.,,M14314,MÁV FKG,BNC-65120,HLP-68 hidraulika olaj,,
SZÉV2021-0066,FALSE,IMP,03.01,,0,,,-,SZÉV,-,Royal #40-150 főorsó menesztő diók SK/BT,,
SZÉV2021-0067,TRUE,IMP,03.02,,0,x,x,x,x,Proth PSGC-50100AHR,,,
SZÉV2021-0068,TRUE,GYE,03.02,,0,04.22.,,M20054,NCT HBM-160,Pegard szögfej,Pegard szögfej hajtókar,,
