SZÉV igény szám,Státusz,Felelős,Igény dátuma,Fizetendő,Gépállás,Teljesítés dátuma,Áttárolás/Betárolás száma,Msz,Megrendelő,Géptípus,Igény,Megjegyzés (email) ,Megjegyzés,Igénylő
SZÉV2023-254,TRUE,GYE,09.11.,,0,09.12.,2023/000000815,M18106,KÓCZIÁN RÓBERT EV.,MM-850SV,2 db 10-10012238-00 SKF S7208 CDGA/HCP4A precíziós golyóscsapágy,,,HA
SZÉV2023-255,TRUE,GYE,09.11.,,0,10.03.,,M08075,VILLBEK KFT.,TNL-100ADT,munkadarab kihordó szalag,,1 db + 1 db SZÉV tartalék,HA
SZÉV2023-256,TRUE,GYE,09.13.,,0,09.15.,,M11288,BÍRÓ,EmL-850,"Az EML-850 gépünk „X” tengelyének javításán dolgozunk, és észleltük, hogy az egyik oldalon nincs a tengelynek véghelyzeti csillapítása.
Szeretnék kérni 1 db a képen látható formájú csillapító FIBRÓ alkatrészt, köszönöm!
Méret: Külső: 91 mm. Belső: 43 mm. Vast: kb. 15 mm.",,,LR
SZÉV2023-257,TRUE,GYE,09.15.,,0,10.11.,,M16143,LIKERNÉ DR. DIÓSZEGI MÁRIA E.V.,HTL-76,szivattyú csere nagyobbra,Eredeti: Walrus TPHK2T4-3,,CsZ
SZÉV2023-258,TRUE,GYE,09.18.,,0,10.20.,BET2023/03528,,SZÉV tartalék,,2 db DEUBLIN 902-120-188,elhasználtuk az utolsó darabot,,LR
SZÉV2023-259,TRUE,GYE,09.20.,,1,09.22.,,M07023,PI DENTAL FOGÁSZATI GYÁRTÓ KFT.,K-B640,komplett  levegőelőkészítő,,,CsZ
SZÉV2023-260,FALSE,IMP,09.20.,,1,,,M06272,NIVELCO ZRT.,TMV-850A,Z tengely teleszkópos burkolat (300525-012312),10-00006680-00,,CsZ
SZÉV2023-261,TRUE,GYE,09.22.,,0,,,M13162,KOÓP 55 KFT.,EEN-320E,keresztszán hajtásának bordás kerekeire árajánlatot kérnek,,Ajánlatra nem jött válasz,CsZ
SZÉV2023-262,TRUE,GYE,09.25.,,0,09.27.,,,SZÉV tartalék,,Csapágy: 6004-2Z,4-db,,CsZ
SZÉV2023-263,TRUE,GYE,09.25.,,1,09.30.,,M08130,MAGYARMET KFT.,EmL-510,főorsó labirintgyűrű,Volent Áron megrajzolta,,LR
SZÉV2023-264,TRUE,GYE,09.25.,,0,10.02,,,SZÉV tartalék (Royal Productiontől behozott),EmL-1020,főorsó labirintgyűrű,Volent Áron megrajzolta,,LR
SZÉV2023-265,TRUE,GYE,09.25.,,0,,,,SZÉV tartalék,,30 baros szivattyú tengely - 2 db,Volent Áron megrajzolta,ezt már beküldük ,LR
SZÉV2023-266,FALSE,IMP,09.25.,,0,,,M12004,GOODWILL-TRADE KFT.,EML-1020D,"50db - 10-00006929-00,Tartalék / Szerszámtartó zsebek esernyős szerszámcserélőhöz / SK40/ DIN40",,,CsZ
SZÉV2023-267,TRUE,GYE,09.25.,,0,10.05.,,,SZÉV - Kovács Raul,,"2 db 2,5-ös gömbvégű fekete Bondhus imbuszkulcs",,,HA
SZÉV2023-268,TRUE,GYE,09.26.,,1,09.29.,,M18126,HUONKER HUNGÁRIA KFT.,JSL-32ABMs,Szíj: 740-5M-16mm + 710-5M-24,1-1db,,CsZ
SZÉV2023-269,TRUE,GYE,09.27.,,,09.28.,,M11246,MARTON CNC KFT.,EML-510B,"Szíj / 5M/695/30 mm,10-00005881-00",2db,,CsZ
SZÉV2023-270,FALSE,IMP,09.28.,,0,,,M13243,BÍRÓ Kft,Tajmac ZPS H400,paletta alkatrészek,"3076 - 8 db, 3075 - 8 db, 3052 - 4 szett, 3054 - 4 db, 3055 - 4 db",,HA
SZÉV2023-271,FALSE,GYE,09.28.,,0,,,,SZÉV műhely felszerelés - mérőeszközök,,"Hoffmann
41 5611 300 mm digitális műhelytolómérő
41 8500 200 mm horgas mélységmérő
41 8520 200 mm duplahorgas mélységmérő
41 7900 10-160 mm horony tolómérő
42 0500 50-75 mm kengyeles mikrométer
42 0500 75-100 mm kengyeles mikrométer
",,Nem kaptuk meg ezt a levelet. szükséges még?,LR
SZÉV2023-272,TRUE,GYE,09.28.,,0,11.0x.,,,SZÉV műhely felszerelés - golyós csapágy lehúzó készlet,,Hoffmann 88 3000 golyóscsapágy lehúzó készlet műanyag kofferben vagy KUKKO K-70-C-019999,,beérkezett. Beküldve,LR
SZÉV2023-273,FALSE,GYE,09.28.,,0,,,,SZÉV raktár - menetfúró készlet ,,"M2,5-M10-ig 3-3 db","SZÉV raktárba fog kerülni, kérésre adjuk ki","104400 P        Haberkorn Fairtool Kft.        740 190 Ft díjbekérőből tudjuk majd kiszolgálni
",LR
SZÉV2023-274,FALSE,GYE,09.28.,,0,,,,SZÉV műhely,,"5 db 5-ös imbuszkulcs vegyesen, 1 db 5-ös dugókulcs",,,LR
SZÉV2023-275,TRUE,GYE,09.28.,,0,,,,ANDRITZ TIGÉP,,MPT-200 3L/PL (5-25bar) ILC kenő tápegység olajzó + MPT/G-200 3L/PL (15-50bar) ILC kenő tápegység zsírzó ,10-00000368-00 + 10-00000367-00,Euroschale hez irányítottuk az ügyfelet készlethiány miatt,CsZ
SZÉV2023-276,TRUE,GYE,09.29.,,0,,,,SZÉV tartalék olajok,,"40 liter 68-as szánkenő olaj
40 liter 32-es hidraulika olaj
20 liter 22-es orsó és hajtómű olaj (Mehrzwecköl)
20 liter 32-es hajtómű olaj
20 liter 46-os hajtómű olaj
20 liter 68-as hajtómű olaj
20 liter 120-as hajtómű olaj
1 liter 32-es pneumatika olaj
20 liter ipari zsíroldó
50 liter Optilube Kilav Decerante Manuale folyadék alkatrészmosóba (vagy ennek kiváltója)",,,LR
